asset_f1,asset_precision,asset_recall,b3_f1,b3_precision,b3_recall,critical_miss_rate,critical_misses,edge_brier,edge_calibration_cases,edge_calibration_positive_fraction,edge_ece,edge_f1,edge_precision,edge_recall,entity_f1,entity_precision,entity_recall,kendall_tau_b_calibrated,kendall_tau_b_primary,kendall_tau_b_rank_aggregation,kendall_tau_b_weighted,method,ndcg_at_10_calibrated,ndcg_at_10_primary,ndcg_at_10_rank_aggregation,ndcg_at_10_weighted,ndcg_at_5_calibrated,ndcg_at_5_primary,ndcg_at_5_rank_aggregation,ndcg_at_5_weighted,ndcg_calibrated,ndcg_primary,ndcg_rank_aggregation,ndcg_weighted,node_truth_conflicts,observation_dropout,perturbation_seed,provenance_invariant,replicate,spearman_calibrated,spearman_primary,spearman_rank_aggregation,spearman_weighted,top5_urgent_recall_calibrated,top5_urgent_recall_primary,top5_urgent_recall_rank_aggregation,top5_urgent_recall_weighted,unsupported_edge_rate,urgency_brier,urgency_ece,verification_queue_size
0.8846153846,0.7931034483,1,0.9418837675,1,0.8901515152,0,0,0.01752874284,31,0.935483871,0.1072799224,0.8923076923,0.935483871,0.8529411765,0.8787878788,1,0.7837837838,0.3852918729,0.22184804,-0.07626314237,0.3852918729,exact_direct,0.9154119199,0.8028461388,0.6651488052,0.9154119199,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0,0,10590,True,4,0.4517370127,0.3183055139,-0.1095091896,0.4517370127,0.3125,0.3125,0.25,0.3125,0.06451612903,0.3076902777,0.3173477957,16
1,1,1,1,1,1,0,0,0.02278806047,36,0.9444444444,0.1252807397,1,1,1,1,1,1,0.3647507836,0.273719931,0.1165049664,0.3647507836,cigma,0.9129369989,0.8984066788,0.8572015846,0.9129369989,0.910629294,0.8947838492,0.8362467693,0.910629294,0.910629294,0.8947838492,0.8362467693,0.910629294,0,0,10590,True,4,0.4192824522,0.3344591957,0.1513267165,0.4192824522,0.25,0.3125,0.3125,0.25,0,0.09851159419,0.08282331599,15
0.6666666667,0.5,1,0.6865671642,1,0.5227272727,0,0,0.02157103907,34,0.9411764706,0.1257072336,0.8529411765,0.8529411765,0.8529411765,0,0,0,0.4651133467,0.1204317931,-0.1711399165,0.4651133467,source_union,0.922979725,0.806817735,0.6948574953,0.922979725,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0,0,10591,True,5,0.5491376286,0.1543054649,-0.2132808519,0.5491376286,0.3125,0.3125,0.25,0.3125,0.1470588235,0.4767909208,0.5540253269,30
0.8846153846,0.7931034483,1,0.9418837675,1,0.8901515152,0,0,0.01752874284,31,0.935483871,0.1072799224,0.8923076923,0.935483871,0.8529411765,0.8787878788,1,0.7837837838,0.3852918729,0.22184804,-0.07626314237,0.3852918729,exact_direct,0.9154119199,0.8028461388,0.6651488052,0.9154119199,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0,0,10591,True,5,0.4517370127,0.3183055139,-0.1095091896,0.4517370127,0.3125,0.3125,0.25,0.3125,0.06451612903,0.3076902777,0.3173477957,16
1,1,1,1,1,1,0,0,0.02278806047,36,0.9444444444,0.1252807397,1,1,1,1,1,1,0.3647507836,0.273719931,0.1165049664,0.3647507836,cigma,0.9129369989,0.8984066788,0.8572015846,0.9129369989,0.910629294,0.8947838492,0.8362467693,0.910629294,0.910629294,0.8947838492,0.8362467693,0.910629294,0,0,10591,True,5,0.4192824522,0.3344591957,0.1513267165,0.4192824522,0.25,0.3125,0.3125,0.25,0,0.09851159419,0.08282331599,15
0.6666666667,0.5,1,0.6865671642,1,0.5227272727,0,0,0.02157103907,34,0.9411764706,0.1257072336,0.8529411765,0.8529411765,0.8529411765,0,0,0,0.4651133467,0.1204317931,-0.1711399165,0.4651133467,source_union,0.922979725,0.806817735,0.6948574953,0.922979725,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0,0,10592,True,6,0.5491376286,0.1543054649,-0.2132808519,0.5491376286,0.3125,0.3125,0.25,0.3125,0.1470588235,0.4767909208,0.5540253269,30
0.8846153846,0.7931034483,1,0.9418837675,1,0.8901515152,0,0,0.01752874284,31,0.935483871,0.1072799224,0.8923076923,0.935483871,0.8529411765,0.8787878788,1,0.7837837838,0.3852918729,0.22184804,-0.07626314237,0.3852918729,exact_direct,0.9154119199,0.8028461388,0.6651488052,0.9154119199,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0,0,10592,True,6,0.4517370127,0.3183055139,-0.1095091896,0.4517370127,0.3125,0.3125,0.25,0.3125,0.06451612903,0.3076902777,0.3173477957,16
1,1,1,1,1,1,0,0,0.02278806047,36,0.9444444444,0.1252807397,1,1,1,1,1,1,0.3647507836,0.273719931,0.1165049664,0.3647507836,cigma,0.9129369989,0.8984066788,0.8572015846,0.9129369989,0.910629294,0.8947838492,0.8362467693,0.910629294,0.910629294,0.8947838492,0.8362467693,0.910629294,0,0,10592,True,6,0.4192824522,0.3344591957,0.1513267165,0.4192824522,0.25,0.3125,0.3125,0.25,0,0.09851159419,0.08282331599,15
0.6666666667,0.5,1,0.6865671642,1,0.5227272727,0,0,0.02157103907,34,0.9411764706,0.1257072336,0.8529411765,0.8529411765,0.8529411765,0,0,0,0.4651133467,0.1204317931,-0.1711399165,0.4651133467,source_union,0.922979725,0.806817735,0.6948574953,0.922979725,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0,0,10593,True,7,0.5491376286,0.1543054649,-0.2132808519,0.5491376286,0.3125,0.3125,0.25,0.3125,0.1470588235,0.4767909208,0.5540253269,30
0.8846153846,0.7931034483,1,0.9418837675,1,0.8901515152,0,0,0.01752874284,31,0.935483871,0.1072799224,0.8923076923,0.935483871,0.8529411765,0.8787878788,1,0.7837837838,0.3852918729,0.22184804,-0.07626314237,0.3852918729,exact_direct,0.9154119199,0.8028461388,0.6651488052,0.9154119199,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0,0,10593,True,7,0.4517370127,0.3183055139,-0.1095091896,0.4517370127,0.3125,0.3125,0.25,0.3125,0.06451612903,0.3076902777,0.3173477957,16
1,1,1,1,1,1,0,0,0.02278806047,36,0.9444444444,0.1252807397,1,1,1,1,1,1,0.3647507836,0.273719931,0.1165049664,0.3647507836,cigma,0.9129369989,0.8984066788,0.8572015846,0.9129369989,0.910629294,0.8947838492,0.8362467693,0.910629294,0.910629294,0.8947838492,0.8362467693,0.910629294,0,0,10593,True,7,0.4192824522,0.3344591957,0.1513267165,0.4192824522,0.25,0.3125,0.3125,0.25,0,0.09851159419,0.08282331599,15
0.6666666667,0.5,1,0.6865671642,1,0.5227272727,0,0,0.02157103907,34,0.9411764706,0.1257072336,0.8529411765,0.8529411765,0.8529411765,0,0,0,0.4651133467,0.1204317931,-0.1711399165,0.4651133467,source_union,0.922979725,0.806817735,0.6948574953,0.922979725,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0,0,10594,True,8,0.5491376286,0.1543054649,-0.2132808519,0.5491376286,0.3125,0.3125,0.25,0.3125,0.1470588235,0.4767909208,0.5540253269,30
0.8846153846,0.7931034483,1,0.9418837675,1,0.8901515152,0,0,0.01752874284,31,0.935483871,0.1072799224,0.8923076923,0.935483871,0.8529411765,0.8787878788,1,0.7837837838,0.3852918729,0.22184804,-0.07626314237,0.3852918729,exact_direct,0.9154119199,0.8028461388,0.6651488052,0.9154119199,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0,0,10594,True,8,0.4517370127,0.3183055139,-0.1095091896,0.4517370127,0.3125,0.3125,0.25,0.3125,0.06451612903,0.3076902777,0.3173477957,16
1,1,1,1,1,1,0,0,0.02278806047,36,0.9444444444,0.1252807397,1,1,1,1,1,1,0.3647507836,0.273719931,0.1165049664,0.3647507836,cigma,0.9129369989,0.8984066788,0.8572015846,0.9129369989,0.910629294,0.8947838492,0.8362467693,0.910629294,0.910629294,0.8947838492,0.8362467693,0.910629294,0,0,10594,True,8,0.4192824522,0.3344591957,0.1513267165,0.4192824522,0.25,0.3125,0.3125,0.25,0,0.09851159419,0.08282331599,15
0.6666666667,0.5,1,0.6865671642,1,0.5227272727,0,0,0.02157103907,34,0.9411764706,0.1257072336,0.8529411765,0.8529411765,0.8529411765,0,0,0,0.4651133467,0.1204317931,-0.1711399165,0.4651133467,source_union,0.922979725,0.806817735,0.6948574953,0.922979725,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0,0,10595,True,9,0.5491376286,0.1543054649,-0.2132808519,0.5491376286,0.3125,0.3125,0.25,0.3125,0.1470588235,0.4767909208,0.5540253269,30
0.8846153846,0.7931034483,1,0.9418837675,1,0.8901515152,0,0,0.01752874284,31,0.935483871,0.1072799224,0.8923076923,0.935483871,0.8529411765,0.8787878788,1,0.7837837838,0.3852918729,0.22184804,-0.07626314237,0.3852918729,exact_direct,0.9154119199,0.8028461388,0.6651488052,0.9154119199,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0,0,10595,True,9,0.4517370127,0.3183055139,-0.1095091896,0.4517370127,0.3125,0.3125,0.25,0.3125,0.06451612903,0.3076902777,0.3173477957,16
1,1,1,1,1,1,0,0,0.02278806047,36,0.9444444444,0.1252807397,1,1,1,1,1,1,0.3647507836,0.273719931,0.1165049664,0.3647507836,cigma,0.9129369989,0.8984066788,0.8572015846,0.9129369989,0.910629294,0.8947838492,0.8362467693,0.910629294,0.910629294,0.8947838492,0.8362467693,0.910629294,0,0,10595,True,9,0.4192824522,0.3344591957,0.1513267165,0.4192824522,0.25,0.3125,0.3125,0.25,0,0.09851159419,0.08282331599,15
0.6666666667,0.5,1,0.6865671642,1,0.5227272727,0,0,0.02157103907,34,0.9411764706,0.1257072336,0.8529411765,0.8529411765,0.8529411765,0,0,0,0.4651133467,0.1204317931,-0.1711399165,0.4651133467,source_union,0.922979725,0.806817735,0.6948574953,0.922979725,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0,0,10596,True,10,0.5491376286,0.1543054649,-0.2132808519,0.5491376286,0.3125,0.3125,0.25,0.3125,0.1470588235,0.4767909208,0.5540253269,30
0.8846153846,0.7931034483,1,0.9418837675,1,0.8901515152,0,0,0.01752874284,31,0.935483871,0.1072799224,0.8923076923,0.935483871,0.8529411765,0.8787878788,1,0.7837837838,0.3852918729,0.22184804,-0.07626314237,0.3852918729,exact_direct,0.9154119199,0.8028461388,0.6651488052,0.9154119199,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0,0,10596,True,10,0.4517370127,0.3183055139,-0.1095091896,0.4517370127,0.3125,0.3125,0.25,0.3125,0.06451612903,0.3076902777,0.3173477957,16
1,1,1,1,1,1,0,0,0.02278806047,36,0.9444444444,0.1252807397,1,1,1,1,1,1,0.3647507836,0.273719931,0.1165049664,0.3647507836,cigma,0.9129369989,0.8984066788,0.8572015846,0.9129369989,0.910629294,0.8947838492,0.8362467693,0.910629294,0.910629294,0.8947838492,0.8362467693,0.910629294,0,0,10596,True,10,0.4192824522,0.3344591957,0.1513267165,0.4192824522,0.25,0.3125,0.3125,0.25,0,0.09851159419,0.08282331599,15
0.6666666667,0.5,1,0.6865671642,1,0.5227272727,0,0,0.02157103907,34,0.9411764706,0.1257072336,0.8529411765,0.8529411765,0.8529411765,0,0,0,0.4651133467,0.1204317931,-0.1711399165,0.4651133467,source_union,0.922979725,0.806817735,0.6948574953,0.922979725,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0,0,10597,True,11,0.5491376286,0.1543054649,-0.2132808519,0.5491376286,0.3125,0.3125,0.25,0.3125,0.1470588235,0.4767909208,0.5540253269,30
0.8846153846,0.7931034483,1,0.9418837675,1,0.8901515152,0,0,0.01752874284,31,0.935483871,0.1072799224,0.8923076923,0.935483871,0.8529411765,0.8787878788,1,0.7837837838,0.3852918729,0.22184804,-0.07626314237,0.3852918729,exact_direct,0.9154119199,0.8028461388,0.6651488052,0.9154119199,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0,0,10597,True,11,0.4517370127,0.3183055139,-0.1095091896,0.4517370127,0.3125,0.3125,0.25,0.3125,0.06451612903,0.3076902777,0.3173477957,16
1,1,1,1,1,1,0,0,0.02278806047,36,0.9444444444,0.1252807397,1,1,1,1,1,1,0.3647507836,0.273719931,0.1165049664,0.3647507836,cigma,0.9129369989,0.8984066788,0.8572015846,0.9129369989,0.910629294,0.8947838492,0.8362467693,0.910629294,0.910629294,0.8947838492,0.8362467693,0.910629294,0,0,10597,True,11,0.4192824522,0.3344591957,0.1513267165,0.4192824522,0.25,0.3125,0.3125,0.25,0,0.09851159419,0.08282331599,15
0.6666666667,0.5,1,0.6865671642,1,0.5227272727,0,0,0.02157103907,34,0.9411764706,0.1257072336,0.8529411765,0.8529411765,0.8529411765,0,0,0,0.4651133467,0.1204317931,-0.1711399165,0.4651133467,source_union,0.922979725,0.806817735,0.6948574953,0.922979725,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0,0,10598,True,12,0.5491376286,0.1543054649,-0.2132808519,0.5491376286,0.3125,0.3125,0.25,0.3125,0.1470588235,0.4767909208,0.5540253269,30
0.8846153846,0.7931034483,1,0.9418837675,1,0.8901515152,0,0,0.01752874284,31,0.935483871,0.1072799224,0.8923076923,0.935483871,0.8529411765,0.8787878788,1,0.7837837838,0.3852918729,0.22184804,-0.07626314237,0.3852918729,exact_direct,0.9154119199,0.8028461388,0.6651488052,0.9154119199,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0,0,10598,True,12,0.4517370127,0.3183055139,-0.1095091896,0.4517370127,0.3125,0.3125,0.25,0.3125,0.06451612903,0.3076902777,0.3173477957,16
1,1,1,1,1,1,0,0,0.02278806047,36,0.9444444444,0.1252807397,1,1,1,1,1,1,0.3647507836,0.273719931,0.1165049664,0.3647507836,cigma,0.9129369989,0.8984066788,0.8572015846,0.9129369989,0.910629294,0.8947838492,0.8362467693,0.910629294,0.910629294,0.8947838492,0.8362467693,0.910629294,0,0,10598,True,12,0.4192824522,0.3344591957,0.1513267165,0.4192824522,0.25,0.3125,0.3125,0.25,0,0.09851159419,0.08282331599,15
0.6666666667,0.5,1,0.6865671642,1,0.5227272727,0,0,0.02157103907,34,0.9411764706,0.1257072336,0.8529411765,0.8529411765,0.8529411765,0,0,0,0.4651133467,0.1204317931,-0.1711399165,0.4651133467,source_union,0.922979725,0.806817735,0.6948574953,0.922979725,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0,0,10599,True,13,0.5491376286,0.1543054649,-0.2132808519,0.5491376286,0.3125,0.3125,0.25,0.3125,0.1470588235,0.4767909208,0.5540253269,30
0.8846153846,0.7931034483,1,0.9418837675,1,0.8901515152,0,0,0.01752874284,31,0.935483871,0.1072799224,0.8923076923,0.935483871,0.8529411765,0.8787878788,1,0.7837837838,0.3852918729,0.22184804,-0.07626314237,0.3852918729,exact_direct,0.9154119199,0.8028461388,0.6651488052,0.9154119199,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0,0,10599,True,13,0.4517370127,0.3183055139,-0.1095091896,0.4517370127,0.3125,0.3125,0.25,0.3125,0.06451612903,0.3076902777,0.3173477957,16
1,1,1,1,1,1,0,0,0.02278806047,36,0.9444444444,0.1252807397,1,1,1,1,1,1,0.3647507836,0.273719931,0.1165049664,0.3647507836,cigma,0.9129369989,0.8984066788,0.8572015846,0.9129369989,0.910629294,0.8947838492,0.8362467693,0.910629294,0.910629294,0.8947838492,0.8362467693,0.910629294,0,0,10599,True,13,0.4192824522,0.3344591957,0.1513267165,0.4192824522,0.25,0.3125,0.3125,0.25,0,0.09851159419,0.08282331599,15
0.6666666667,0.5,1,0.6865671642,1,0.5227272727,0,0,0.02157103907,34,0.9411764706,0.1257072336,0.8529411765,0.8529411765,0.8529411765,0,0,0,0.4651133467,0.1204317931,-0.1711399165,0.4651133467,source_union,0.922979725,0.806817735,0.6948574953,0.922979725,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0,0,10600,True,14,0.5491376286,0.1543054649,-0.2132808519,0.5491376286,0.3125,0.3125,0.25,0.3125,0.1470588235,0.4767909208,0.5540253269,30
0.8846153846,0.7931034483,1,0.9418837675,1,0.8901515152,0,0,0.01752874284,31,0.935483871,0.1072799224,0.8923076923,0.935483871,0.8529411765,0.8787878788,1,0.7837837838,0.3852918729,0.22184804,-0.07626314237,0.3852918729,exact_direct,0.9154119199,0.8028461388,0.6651488052,0.9154119199,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0,0,10600,True,14,0.4517370127,0.3183055139,-0.1095091896,0.4517370127,0.3125,0.3125,0.25,0.3125,0.06451612903,0.3076902777,0.3173477957,16
1,1,1,1,1,1,0,0,0.02278806047,36,0.9444444444,0.1252807397,1,1,1,1,1,1,0.3647507836,0.273719931,0.1165049664,0.3647507836,cigma,0.9129369989,0.8984066788,0.8572015846,0.9129369989,0.910629294,0.8947838492,0.8362467693,0.910629294,0.910629294,0.8947838492,0.8362467693,0.910629294,0,0,10600,True,14,0.4192824522,0.3344591957,0.1513267165,0.4192824522,0.25,0.3125,0.3125,0.25,0,0.09851159419,0.08282331599,15
0.6666666667,0.5,1,0.6865671642,1,0.5227272727,0,0,0.02157103907,34,0.9411764706,0.1257072336,0.8529411765,0.8529411765,0.8529411765,0,0,0,0.4651133467,0.1204317931,-0.1711399165,0.4651133467,source_union,0.922979725,0.806817735,0.6948574953,0.922979725,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0.9434732991,0.9434732991,0.5973482907,0.9434732991,0,0,10601,True,15,0.5491376286,0.1543054649,-0.2132808519,0.5491376286,0.3125,0.3125,0.25,0.3125,0.1470588235,0.4767909208,0.5540253269,30
0.8846153846,0.7931034483,1,0.9418837675,1,0.8901515152,0,0,0.01752874284,31,0.935483871,0.1072799224,0.8923076923,0.935483871,0.8529411765,0.8787878788,1,0.7837837838,0.3852918729,0.22184804,-0.07626314237,0.3852918729,exact_direct,0.9154119199,0.8028461388,0.6651488052,0.9154119199,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0.9562649742,0.8947838492,0.4892493131,0.9562649742,0,0,10601,True,15,0.4517370127,0.3183055139,-0.1095091896,0.4517370127,0.3125,0.3125,0.25,0.3125,0.06451612903,0.3076902777,0.3173477957,16
1,1,1,1,1,1,0,0,0.02278806047,36,0.9444444444,0.1252807397,1,1,1,1,1,1,0.3647507836,0.273719931,0.1165049664,0.3647507836,cigma,0.9129369989,0.8984066788,0.8572015846,0.9129369989,0.910629294,0.8947838492,0.8362467693,0.910629294,0.910629294,0.8947838492,0.8362467693,0.910629294,0,0,10601,True,15,0.4192824522,0.3344591957,0.1513267165,0.4192824522,0.25,0.3125,0.3125,0.25,0,0.09851159419,0.08282331599,15
